70000 3
-1.209349 3.070478 7.738376
33.128174 -20.695812 -3.768002
13.164652 -13.886540 -13.415260
-8.253885 -3.374814 -15.681150
3.913406 -17.600307 -9.640995
-21.145672 -12.655531 3.511817
-10.573178 -10.831516 -30.025745
-0.913823 12.775290 15.468164
-12.252872 -11.210028 -28.268898
6.099612 -8.616125 -12.902589
-1.395030 10.472475 12.284944
2.689025 1.305063 2.430067
-1.808701 7.290960 16.977720
-18.071545 14.629199 -19.088139
-12.450826 -8.275865 -28.886097
-4.699384 -21.028440 -4.849658
-18.216154 -13.100363 4.918490
8.747161 -2.271738 17.972322
-15.746809 14.864401 -15.527447
-0.466363 -15.967501 -8.109787
13.968514 -15.323866 -13.407320
32.959549 -21.331949 -4.519407
0.523546 -15.660449 -9.395786
-8.217085 -3.342764 -15.531473
-9.459091 -9.531963 -23.383438
-18.367294 -7.596159 4.728737
8.358302 -13.304667 -9.306738
-1.917156 11.054937 16.743525
-6.128635 -20.015539 -1.267109
-6.275285 -19.474079 -5.391341
-2.619694 5.465650 16.999859
9.354966 -2.584789 16.856268
-17.344294 17.211178 -17.562757
-1.247430 -16.486870 -7.840359
30.739168 -20.406240 -1.225270
2.159176 2.504438 3.250494
-17.155220 14.615512 -15.661960
30.959217 -20.743155 -2.072946
0.637096 -20.896931 0.558109
-18.093945 15.227939 -17.779299
-11.546995 -9.823993 -24.116142
6.803137 -0.730031 18.357035
-0.009309 -20.420509 -0.976763
0.233265 -16.162172 -7.571365
1.531982 7.917644 15.841274
3.197857 -18.199606 -9.310242
3.994174 -0.952010 19.542097
0.837278 0.934505 4.957510
0.571715 6.950513 14.656281
-0.819628 11.433410 15.195288
-3.265702 8.343699 12.679905
34.900341 -19.191216 -5.385785
-1.725096 -24.674946 -1.268381
5.010948 -10.133715 -10.135131
3.074314 -19.099560 -8.420870
6.076151 -2.912967 18.515593
34.752087 -16.585007 -5.849253
0.357283 -16.666504 -9.331451
12.223819 -14.250848 -10.959321
-8.567045 -2.425664 -16.664045
13.733521 -15.046322 -14.773007
5.062483 -8.532548 -11.295884
-16.083794 13.391362 -15.242737
33.696571 -20.874025 -4.112965
10.891084 -12.564479 -14.560358
2.919409 0.839795 2.494893
-16.924747 13.289827 -16.511551
-10.056092 -4.359985 -22.202097
35.309952 -16.515388 -7.888784
31.611761 -17.633547 -1.788437
-10.486988 -9.044044 -27.067873
-5.354706 -20.623426 -5.373370
-12.279416 -7.093012 -27.077105
-17.794870 14.313181 -17.123011
-0.168074 8.098443 14.859159
32.237404 -20.275612 -1.967385
-16.624397 -7.491956 3.280783
-9.300960 -3.785427 -18.212332
-10.314609 -3.775309 -18.609739
-5.955409 -19.797565 -5.347154
32.772396 -16.257368 -1.910446
32.132298 -20.160032 -1.791142
-18.574589 -14.162622 5.579478
-17.717478 13.904055 -18.677038
-1.355379 -22.451172 0.140316
7.192379 -0.744604 17.640028
-1.463033 5.542345 16.245827
0.444288 -17.953260 -10.623288
34.592762 -16.304600 -5.431703
7.779461 -8.414604 -13.668899
-17.124527 13.976320 -18.694155
-4.956766 -22.541359 -4.801238
10.962107 -14.624879 -12.217631
-16.920795 14.254496 -17.493330
6.730555 -2.622132 19.313606
31.554667 -19.036358 -2.024725
-1.683300 -20.415285 -2.197408
7.273385 -2.277834 17.945694
-0.246972 8.400995 15.056476
-8.508837 -5.227374 -17.732244
-0.906160 -0.349921 6.725126
-2.272876 -23.864717 -4.003972
-12.465158 -8.055095 -27.997824
-3.256480 -21.795286 -3.448981
-11.746081 -10.373381 -31.085030
-10.073082 -3.429638 -19.245844
-15.534548 15.358645 -17.891150
-2.670261 12.305807 13.827555
34.578350 -16.838047 -8.302168
-19.204254 -10.806383 -0.089790
10.026735 -19.739937 -11.228765
-0.810438 11.735393 17.027225
-11.414937 -10.452607 -24.291267
-9.704312 -1.773791 -17.992756
33.635544 -19.504005 -7.636796
7.550372 -9.240281 -12.332830
